,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
820,2207900.0,Pedro II,22.0,PI,466.98057142857147,503.9877094972067,482.58268156424583,486.14,636.6480446927375
821,2207934.0,Pedro Laurentino,22.0,PI,426.6333333333334,454.8333333333333,434.1666666666667,552.5,626.6666666666666
822,2207959.0,Nova Santa Rita,22.0,PI,437.45,447.9,380.3,450.85,612.0
823,2208007.0,Picos,22.0,PI,506.8341201716738,535.101906779661,519.4317796610169,572.8783261802574,705.7203389830509
824,2208106.0,Pimenteiras,22.0,PI,451.4133333333333,455.44666666666666,427.72999999999996,452.3333333333333,527.3333333333334
825,2208205.0,Pio IX,22.0,PI,480.2291666666667,496.4884615384616,480.4115384615385,506.92083333333335,546.9230769230769
826,2208304.0,Piracuruca,22.0,PI,467.3422818791946,487.64144736842104,477.9269736842105,515.9939597315437,598.2894736842105
827,2208403.0,Piripiri,22.0,PI,485.56721311475405,507.1658823529412,489.9050980392157,530.2786885245902,681.9607843137255
828,2208502.0,Porto,22.0,PI,461.95714285714286,462.88235294117646,424.27058823529416,462.2642857142857,350.5882352941176
829,2208551.0,Porto Alegre do Piauí,22.0,PI,462.59,459.1818181818182,445.8181818181818,452.65,443.6363636363636
830,2208601.0,Prata do Piauí,22.0,PI,431.475,447.9375,422.05,464.3625,457.5
831,2208650.0,Queimada Nova,22.0,PI,446.31666666666666,462.6333333333334,459.5333333333333,471.45,536.6666666666666
832,2208700.0,Redenção do Gurguéia,22.0,PI,447.3285714285715,431.59999999999997,380.9142857142857,445.02857142857147,368.57142857142856
833,2208809.0,Regeneração,22.0,PI,455.14772727272725,472.2565217391304,440.76521739130436,466.49772727272733,460.4347826086956
834,2208858.0,Riacho Frio,22.0,PI,451.46000000000004,447.55,399.4166666666667,440.68,366.6666666666667
835,2208874.0,Ribeira do Piauí,22.0,PI,438.8,510.7,448.8,397.975,630.0
836,2208908.0,Ribeiro Gonçalves,22.0,PI,462.04999999999995,448.40555555555557,431.81666666666666,461.6722222222222,388.8888888888889
837,2209005.0,Rio Grande do Piauí,22.0,PI,435.5863636363636,459.24545454545455,408.5318181818182,465.82727272727277,355.45454545454544
838,2209104.0,Santa Cruz do Piauí,22.0,PI,471.003125,442.96666666666664,433.1181818181818,470.915625,449.09090909090907
839,2209153.0,Santa Cruz dos Milagres,22.0,PI,524.4333333333334,416.8333333333333,484.01666666666665,534.5500000000001,633.3333333333334
840,2209203.0,Santa Filomena,22.0,PI,438.58235294117645,437.7117647058824,428.5764705882353,419.34117647058827,297.6470588235294
841,2209302.0,Santa Luz,22.0,PI,471.9166666666667,487.004347826087,485.4043478260869,479.84999999999997,604.3478260869565
842,2209351.0,Santana do Piauí,22.0,PI,477.15714285714284,478.8666666666666,500.8666666666666,528.8857142857144,676.6666666666666
843,2209377.0,Santa Rosa do Piauí,22.0,PI,445.25384615384615,471.04285714285714,448.79285714285714,472.36153846153843,574.2857142857143
844,2209401.0,Santo Antônio de Lisboa,22.0,PI,471.99090909090904,515.1090909090909,480.3181818181818,518.9181818181819,629.0909090909091
845,2209450.0,Santo Antônio dos Milagres,22.0,PI,430.43999999999994,437.48,428.53999999999996,431.12,456.0
846,2209500.0,Santo Inácio do Piauí,22.0,PI,452.23,445.4636363636364,420.09090909090907,438.35,398.1818181818182
847,2209559.0,São Braz do Piauí,22.0,PI,432.38,457.38,449.14,401.04,552.0
848,2209609.0,São Félix do Piauí,22.0,PI,506.20000000000005,501.4,520.825,542.15,800.0
849,2209658.0,São Francisco de Assis do Piauí,22.0,PI,479.63846153846157,475.81538461538463,477.2384615384616,512.8153846153847,509.2307692307692
850,2209708.0,São Francisco do Piauí,22.0,PI,468.7833333333333,462.5214285714286,453.0857142857143,494.65000000000003,602.8571428571429
851,2209757.0,São Gonçalo do Gurguéia,22.0,PI,446.88,413.01666666666665,398.1666666666667,429.26000000000005,286.6666666666667
852,2209807.0,São Gonçalo do Piauí,22.0,PI,439.20909090909095,430.9583333333333,441.5916666666667,439.8545454545454,490.0
853,2209856.0,São João da Canabrava,22.0,PI,485.63,480.93,461.43,470.77,540.0
854,2209872.0,São João da Fronteira,22.0,PI,445.4111111111111,467.92105263157896,428.33684210526314,469.9555555555556,586.3157894736842
855,2209906.0,São João da Serra,22.0,PI,463.38695652173914,502.2782608695652,488.13913043478266,469.52608695652174,625.2173913043479
856,2209955.0,São João da Varjota,22.0,PI,432.16,423.48333333333335,380.1666666666667,415.5,393.3333333333333
857,2209971.0,São João do Arraial,22.0,PI,452.021875,461.2529411764706,453.52058823529416,468.428125,508.8235294117647
858,2210003.0,São João do Piauí,22.0,PI,472.90816326530614,488.729702970297,486.4237623762377,515.4867346938776,622.3762376237623
859,2210052.0,São José do Divino,22.0,PI,478.62857142857143,496.26000000000005,477.17333333333335,509.54285714285714,662.6666666666666
860,2210102.0,São José do Peixe,22.0,PI,432.3,452.93636363636364,405.79090909090905,448.24545454545455,574.5454545454545
861,2210201.0,São José do Piauí,22.0,PI,464.8428571428571,521.9285714285714,476.0571428571429,513.4714285714286,791.4285714285714
862,2210300.0,São Julião,22.0,PI,451.3809523809524,485.4,461.54285714285714,461.6190476190476,520.952380952381
863,2210359.0,São Lourenço do Piauí,22.0,PI,463.7933333333333,497.81333333333333,467.68666666666667,487.65333333333336,616.0
864,2210375.0,São Luis do Piauí,22.0,PI,458.37272727272733,492.79090909090905,458.6363636363636,483.50909090909084,594.5454545454545
865,2210383.0,São Miguel da Baixa Grande,22.0,PI,444.1166666666666,461.9166666666667,446.40000000000003,494.31666666666666,470.0
866,2210391.0,São Miguel do Fidalgo,22.0,PI,441.5,459.45,453.95,471.65,700.0
867,2210409.0,São Miguel do Tapuio,22.0,PI,473.7782608695652,480.6791666666666,472.9895833333333,492.8413043478261,570.0
868,2210508.0,São Pedro do Piauí,22.0,PI,460.72222222222223,505.1135135135135,475.74864864864867,468.0138888888889,576.2162162162163
869,2210607.0,São Raimundo Nonato,22.0,PI,471.7760563380282,496.8744292237443,483.3712328767123,499.0680751173709,597.8995433789954
870,2210623.0,Sebastião Barros,22.0,PI,450.25,437.8666666666666,406.0833333333333,435.06666666666666,363.3333333333333
871,2210631.0,Sebastião Leal,22.0,PI,453.2083333333333,497.1166666666666,451.45,492.425,551.6666666666666
872,2210656.0,Sigefredo Pacheco,22.0,PI,453.00625,491.5375,462.40625,510.9875,558.75
873,2210706.0,Simões,22.0,PI,478.0615384615385,475.50769230769225,467.0846153846154,511.0615384615385,520.0
874,2210805.0,Simplício Mendes,22.0,PI,453.4125,465.134375,456.88125,454.028125,416.875
875,2210904.0,Socorro do Piauí,22.0,PI,406.70000000000005,391.525,401.725,449.425,540.0
876,2210938.0,Sussuapara,22.0,PI,455.1962962962963,465.81851851851854,463.8666666666667,496.2148148148148,633.3333333333334
877,2210953.0,Tamboril do Piauí,22.0,PI,455.25454545454545,494.24545454545455,466.93636363636364,493.25454545454545,610.9090909090909
878,2210979.0,Tanque do Piauí,22.0,PI,520.6,548.9333333333333,517.4333333333334,604.1,813.3333333333334
879,2211001.0,Teresina,22.0,PI,514.3252862218712,543.6968526742614,530.5407800733733,584.7268456375839,712.7553581772543
880,2211100.0,União,22.0,PI,465.23014705882355,479.8921985815603,462.9780141843972,483.50294117647053,605.1063829787234
881,2211209.0,Uruçuí,22.0,PI,460.83804347826083,488.4565656565656,474.33636363636367,487.5293478260869,613.5353535353536
882,2211308.0,Valença do Piauí,22.0,PI,474.683193277311,495.20909090909095,475.59834710743803,489.381512605042,628.2644628099174
883,2211357.0,Várzea Branca,22.0,PI,441.3357142857143,436.2714285714286,405.89285714285717,415.4785714285714,398.57142857142856
884,2211407.0,Várzea Grande,22.0,PI,453.42857142857144,507.38571428571424,458.75714285714287,456.65714285714284,580.0
885,2211506.0,Vera Mendes,22.0,PI,449.02,437.53999999999996,425.6,418.02,324.0
886,2211605.0,Vila Nova do Piauí,22.0,PI,419.1666666666667,509.475,495.025,598.5333333333334,640.0
887,2211704.0,Wall Ferraz,22.0,PI,442.7692307692308,450.1,418.20000000000005,471.1923076923077,584.6153846153846
888,2300101.0,Abaiara,23.0,CE,463.5960784313726,486.288679245283,471.4566037735849,479.84117647058827,590.566037735849
889,2300150.0,Acarape,23.0,CE,446.60526315789474,469.6456140350877,454.3561403508772,466.39649122807015,518.5964912280701
890,2300200.0,Acaraú,23.0,CE,462.31530898876406,475.6885245901639,461.92800546448086,503.2515449438202,573.2786885245902
891,2300309.0,Acopiara,23.0,CE,461.74399038461536,484.38894009216585,467.3758064516129,491.7021634615385,510.6912442396313
892,2300408.0,Aiuaba,23.0,CE,459.57142857142856,478.70714285714286,463.65982142857143,475.95523809523814,472.5
893,2300507.0,Alcântaras,23.0,CE,463.848275862069,477.9034482758621,470.13793103448273,501.17241379310343,483.44827586206895
894,2300606.0,Altaneira,23.0,CE,468.5444444444444,453.50476190476195,434.68571428571425,458.3666666666667,344.76190476190476
895,2300705.0,Alto Santo,23.0,CE,458.4396226415094,458.90909090909093,442.0872727272727,466.22169811320754,359.45454545454544
896,2300754.0,Amontada,23.0,CE,457.8969976905312,466.5720173535792,452.1876355748373,483.535103926097,490.0216919739696
897,2300804.0,Antonina do Norte,23.0,CE,451.5405405405405,476.56842105263155,464.82894736842104,464.71351351351353,451.57894736842104
898,2300903.0,Apuiarés,23.0,CE,459.86126126126123,463.35135135135135,442.290990990991,453.14864864864865,376.2162162162162
899,2301000.0,Aquiraz,23.0,CE,469.9040076335878,486.265504587156,480.2411009174312,499.781106870229,553.6880733944954
900,2301109.0,Aracati,23.0,CE,474.44571428571425,484.40033388981635,481.77195325542573,509.1021428571429,513.7228714524207
901,2301208.0,Aracoiaba,23.0,CE,466.6456193353475,481.35840707964604,470.23598820059,490.7108761329305,549.5575221238938
902,2301257.0,Ararendá,23.0,CE,443.1823529411765,443.6703488372093,433.8790697674418,449.2141176470588,414.7674418604651
903,2301307.0,Araripe,23.0,CE,462.8242424242424,470.41024390243905,457.92926829268293,495.8989898989899,495.4146341463415
904,2301406.0,Aratuba,23.0,CE,455.44554455445547,463.7177570093458,446.89158878504674,456.980198019802,427.4766355140187
905,2301505.0,Arneiroz,23.0,CE,459.47777777777776,482.1705882352941,465.58235294117645,514.447619047619,407.3529411764706
906,2301604.0,Assaré,23.0,CE,464.8004807692308,467.204932735426,452.59013452914803,475.5048076923077,423.58744394618833
907,2301703.0,Aurora,23.0,CE,471.1453201970443,482.9685714285714,463.8461904761905,498.3221674876847,607.1428571428571
908,2301802.0,Baixio,23.0,CE,446.83181818181816,469.83043478260873,463.2891304347826,472.54090909090905,525.2173913043479
909,2301851.0,Banabuiú,23.0,CE,475.16202531645575,481.5763440860215,477.46881720430105,494.2974683544304,464.9462365591398
910,2301901.0,Barbalha,23.0,CE,473.8233429394813,487.20027322404366,478.95327868852456,500.6795389048991,533.1693989071039
911,2301950.0,Barreira,23.0,CE,453.8374045801526,467.74551724137933,462.3386206896552,494.8496183206107,462.3448275862069
912,2302008.0,Barro,23.0,CE,477.3707006369427,503.4760479041916,482.97005988023955,512.9057324840765,598.3233532934132
913,2302057.0,Barroquinha,23.0,CE,449.26847290640393,465.76780487804876,443.8058536585366,470.43201970443346,471.3170731707317
914,2302107.0,Baturité,23.0,CE,463.31662468513855,486.23882063882064,469.68918918918916,491.772040302267,564.5700245700245
915,2302206.0,Beberibe,23.0,CE,468.7975265017668,483.4123076923077,470.45623931623936,495.8936395759717,521.6752136752136
916,2302305.0,Bela Cruz,23.0,CE,458.2355263157895,469.212987012987,455.7831168831169,481.5664473684211,472.0779220779221
917,2302404.0,Boa Viagem,23.0,CE,472.1116331096197,479.9875251509054,467.1792756539235,498.79709172259504,491.7102615694165
918,2302503.0,Brejo Santo,23.0,CE,479.66997245179067,490.6404092071611,476.8452685421995,515.160606060606,539.4373401534527
919,2302602.0,Camocim,23.0,CE,471.63879668049793,482.79473684210524,470.83890977443605,498.0373443983402,487.21804511278197
920,2302701.0,Campos Sales,23.0,CE,465.80864197530866,476.04375,460.090625,498.59938271604943,533.6931818181819
